[10:38:00] login_id: guest | SQL: INSERT INTO tbl_dates (date) VALUES (?) | Values: ["2026-08-26"]
[15:12:20] login_id: 1 | SQL: UPDATE tbl_bank_transactions SET date = ?, type = ?, amount = ?, reference_no = ?, description = ? WHERE id = ? | Values: ["2024-10-10","Interest",366,"","By SB Interst",6]
[15:14:39] login_id: 1 | SQL: UPDATE tbl_bank_transactions SET date = ?, type = ?, amount = ?, reference_no = ?, description = ? WHERE id = ? | Values: ["2024-10-10","Deposit",366,"","By SB Interst",6]
[15:23:34] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2024-03-31","Deposit",441,"","By SB Interst"]
[16:18:41] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["28"]
[16:23:40] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2024-03-31","Interest",441,"","By  Interst"]
[16:29:38] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["29"]
[23:38:38] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2024-03-31","Interest",441,"","BY Intrest"]
[23:39:06] login_id: 1 | SQL: DELETE FROM tbl_bank_transactions WHERE id = ? | Values: ["30"]
[23:46:58] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2024-03-31","Interest",441,"","BY Intrest"]
[23:48:12] login_id: 1 | SQL: INSERT INTO tbl_bank_transactions (date, type, amount, reference_no, description) VALUES (?, ?, ?, ?, ?) | Values: ["2025-03-31","Interest",441,"","BY Intrest"]
