[11:34:36] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-02-06","2"]
[11:38:35] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2026-01-23"]
[11:38:36] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["8","2","2026-01-23"]
[11:38:36] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2026-01-23"]
[11:38:36] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2026-01-23"]
[11:38:46] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-01-24","2"]
[11:38:46] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2026-01-24"]
[11:38:46] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2026-01-24"]
[11:38:46] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["8","2","2026-01-24"]
[11:38:46] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2026-01-24"]
[11:38:46] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2026-01-24"]
[11:55:49] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-01-25","2"]
[11:55:49] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2026-01-25"]
[11:55:49] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2026-01-25"]
[11:55:49] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2026-01-25"]
[11:55:49] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2026-01-25"]
[11:55:49] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2026-01-25"]
[13:02:53] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-01-23","2"]
[13:02:53] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2026-01-23"]
[13:02:53] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2026-01-23"]
[13:02:53] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2026-01-23"]
[13:03:06] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2026-01-24","2"]
[13:03:06] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2026-01-24"]
[13:03:06] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2026-01-24"]
[13:03:06] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2026-01-24"]
[13:03:06] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2026-01-24"]
[14:42:20] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-01","2"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2025-12-01"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-01"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["2","2","2025-12-01"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-12-01"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-12-01"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["39","2","2025-12-01"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-12-01"]
[14:42:20] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-01"]
[14:43:26] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-02","2"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2025-12-02"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-02"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["26","2","2025-12-02"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["2","2","2025-12-02"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-12-02"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-12-02"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-12-02"]
[14:43:26] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-02"]
[14:43:39] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-03","2"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2025-12-03"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-03"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["26","2","2025-12-03"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-12-03"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-12-03"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-12-03"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-12-03"]
[14:43:39] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-03"]
[14:43:52] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-04","2"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["26","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["8","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["2","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["39","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-12-04"]
[14:43:52] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-04"]
[14:44:09] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-06","2"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2025-12-06"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-06"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["26","2","2025-12-06"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["2","2","2025-12-06"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-12-06"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["39","2","2025-12-06"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-12-06"]
[14:44:09] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-06"]
[14:44:23] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-10","2"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2025-12-10"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-10"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-12-10"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-12-10"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["31","2","2025-12-10"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-12-10"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-12-10"]
[14:44:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-10"]
[14:44:41] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-11","2"]
[14:44:41] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-12-11"]
[14:44:41] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["26","2","2025-12-11"]
[14:44:41] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-12-11"]
[14:44:41] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-12-11"]
[14:44:41] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-12-11"]
[14:44:41] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["39","2","2025-12-11"]
[14:44:41] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-11"]
[14:45:02] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-15","2"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["46","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["20","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-12-15"]
[14:45:02] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-15"]
[14:45:14] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-17","2"]
[14:45:14] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-17"]
[14:45:14] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-12-17"]
[14:45:14] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["15","2","2025-12-17"]
[14:45:14] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["21","2","2025-12-17"]
[14:45:14] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-12-17"]
[14:45:14] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-17"]
[14:45:25] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-12-18","2"]
[14:45:25] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["22","2","2025-12-18"]
[14:45:25] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["4","2","2025-12-18"]
[14:45:25] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["24","2","2025-12-18"]
[14:45:25] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["10","2","2025-12-18"]
[14:45:25] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-12-18"]
[16:27:15] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["1500","2025-04-01",null,"2025-2026 opening balance","1"]
[16:27:48] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["300","2025-04-01",null,"2025-2026 opening balance","1"]
[16:28:40] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["0","2025-04-01",null,"2025-2026 opening balance","1"]
[16:30:52] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete,flag) VALUES (?, ?, ?, ?, ?, ?, 1,?) | Values: ["1","1500","2025-11-11",1,"3","","2"]
[16:30:52] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?, ?,0,?,?) | Values: ["1","1500","2025-11-04",1,"3","",220,"2","0"]
[16:31:45] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["300","2025-11-11",null,"","220"]
[16:31:55] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["0","2025-11-11",null,"","220"]
[16:32:07] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["300","2025-04-01",null,"2025-2026 opening balance","1"]
[16:32:30] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["300","2025-07-05",null,"2025 June Fee","93"]
[16:32:50] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["300","2025-10-04",null,"2025 september fee","131"]
[16:34:01] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["1500","2025-11-11",null,"","220"]
[16:34:49] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["0","2025-04-01",null,"2025-2026 opening balance","1"]
[16:34:59] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["600","2025-07-05",null,"2025 June Fee","93"]
[16:35:14] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["600","2025-09-17",null,"2025 July Fee","94"]
[16:35:26] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["300","2025-07-05",null,"2025 June Fee","93"]
[16:35:33] login_id: 1 | SQL: UPDATE tbl_member_recievable SET fees=?, date=?,  head=?, discription=? WHERE id=? | Values: ["300","2025-09-17",null,"2025 July Fee","94"]
[16:37:32] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","220"]
[16:37:32] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","220"]
[16:37:32] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","220",1]
[16:37:32] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","220",1]
[16:37:39] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["0","220"]
[16:37:39] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["0","220"]
[16:37:39] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","220",1]
[16:37:39] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","220",1]
[16:37:44] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","220"]
[16:37:44] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","220"]
[16:37:44] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","220",1]
[16:37:44] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","220",1]
[16:43:03] login_id: 1 | SQL: DELETE FROM tbl_member_recieved WHERE id = ? | Values: ["307"]
[16:43:03] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [0,"220"]
[16:45:11] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["0","220"]
[16:45:11] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["0","220"]
[16:45:11] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","220",1]
[16:45:11] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["0","220",1]
[16:45:19] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","220"]
[16:45:19] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","220"]
[16:45:19] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","220",1]
[16:45:19] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","220",1]
[16:51:45] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete,flag) VALUES (?, ?, ?, ?, ?, ?, 0,?) | Values: ["1","300","2025-11-30",1,"3","NOVEMBER FEE","2"]
[16:51:45] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id, iswallet,flag,transaction_type) VALUES (?, ?, ?, ?, ?, ?, ?,0,?,?) | Values: ["1","0","",1,"3","NOVEMBER FEE",221,"2","0"]
[17:41:01] login_id: 1 | SQL: UPDATE tbl_member_recievable SET cancel = ? WHERE id = ? | Values: ["1","221"]
[17:41:01] login_id: 1 | SQL: UPDATE tbl_member_recieved SET cancel = ? WHERE receiveble_id = ? | Values: ["1","221"]
[17:41:01] login_id: 1 | SQL: UPDATE tbl_payable SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","221",1]
[17:41:01] login_id: 1 | SQL: UPDATE tbl_paid SET cancel = ? WHERE invoice_id = ? AND is_member_trans = ? | Values: ["1","221",1]
